Alt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Yi,Nama Bibit,Ranking
A1,0.40962326394585,0.3310423554409472,0.2538873300579477,0.33006726538340525,0.32072731531946685,0.33040039419645856,0.27937211830783126,0.31622776601683794,0.3632104405220678,0.3139929128113796,0.21273397200839925,Sidenok (Rambutan),1
A2,0.2790839820290407,0.28966206101082875,0.3247396082136541,0.30467747573852794,0.3018610026536159,0.33040039419645856,0.3492151478847891,0.31622776601683794,0.3228537249085047,0.35884904321300526,0.19001641459670002,Mekongga,5
A3,0.2925880456756072,0.24828176658071038,0.30997871693121526,0.3491096076170633,0.32827384038580726,0.2936892392857409,0.27937211830783126,0.31622776601683794,0.3228537249085047,0.4485613040162566,0.18589396204584024,Ciherang,6
A4,0.3376015911641621,0.3310423554409472,0.2952178256487764,0.3364147127946246,0.32450057785263703,0.33040039419645856,0.27937211830783126,0.31622776601683794,0.3228537249085047,0.3139929128113796,0.19350458148290192,Inpari 30,4
A5,0.3511056548107286,0.37242264987106555,0.30997871693121526,0.3173723705609666,0.33204710291897743,0.33040039419645856,0.27937211830783126,0.31622776601683794,0.3632104405220678,0.26913678240975397,0.20040107659584847,Inpari 42 Agritan GSR,3
A6,0.3060921093221737,0.3310423554409472,0.3395004994960929,0.33006726538340525,0.32072731531946685,0.2936892392857409,0.3492151478847891,0.31622776601683794,0.2824970092949416,0.3139929128113796,0.18388482621494465,Inpari 19,7
A7,0.21606501834506375,0.28966206101082875,0.3247396082136541,0.2538978964487733,0.28299468998776484,0.2936892392857409,0.3492151478847891,0.31622776601683794,0.2824970092949416,0.2242806520081283,0.16259127053357808,Sigambiri Merah,10
A8,0.22956908199163023,0.3310423554409472,0.3306439647266296,0.26659279127121194,0.29431447758727547,0.33040039419645856,0.3492151478847891,0.31622776601683794,0.2824970092949416,0.2242806520081283,0.1716980786410563,Sigambiri Putih,8
A9,0.3691110730061506,0.3310423554409472,0.3247396082136541,0.32371981797218596,0.32072731531946685,0.33040039419645856,0.3492151478847891,0.31622776601683794,0.3228537249085047,0.35884904321300526,0.20764090472949764,Inpari 32,2
A10,0.31959617296874016,0.28966206101082875,0.3395004994960929,0.3364147127946246,0.33204710291897743,0.2936892392857409,0.27937211830783126,0.31622776601683794,0.2824970092949416,0.26913678240975397,0.17079972433988858,Situ Bagendit,9
